,tile_name,left,bottom,right,top
0,49FZ2,95000.0,387500.0,100000.0,393750.0
1,39CN1,140000.0,431250.0,145000.0,437500.0
2,10BN2,155000.0,568750.0,160000.0,575000.0
3,67BN1,30000.0,375000.0,35000.0,381250.0
4,12GZ2,245000.0,550000.0,250000.0,556250.0
5,43HZ1,90000.0,400000.0,95000.0,406250.0
6,40CZ2,185000.0,425000.0,190000.0,431250.0
7,51DZ1,150000.0,375000.0,155000.0,381250.0
8,28AN1,220000.0,493750.0,225000.0,500000.0
9,26CN2,145000.0,481250.0,150000.0,487500.0
10,25DZ2,115000.0,475000.0,120000.0,481250.0
11,31AN1,100000.0,468750.0,105000.0,475000.0
12,25FN2,135000.0,493750.0,140000.0,500000.0
13,31GZ2,125000.0,450000.0,130000.0,456250.0
14,65GN2,45000.0,387500.0,50000.0,393750.0
15,26HN2,175000.0,481250.0,180000.0,487500.0
16,72HZ2,95000.0,500000.0,100000.0,506250.0
17,06AZ1,180000.0,587500.0,185000.0,593750.0
18,67BZ2,35000.0,368750.0,40000.0,375000.0
19,49EN1,80000.0,393750.0,85000.0,400000.0
20,19FZ1,130000.0,512500.0,135000.0,518750.0
21,34BN2,235000.0,468750.0,240000.0,475000.0
22,57HN2,175000.0,356250.0,180000.0,362500.0
23,38DZ1,110000.0,425000.0,115000.0,431250.0
24,14FN1,130000.0,543750.0,135000.0,550000.0
25,22BN1,230000.0,518750.0,235000.0,525000.0
26,40FN1,210000.0,443750.0,215000.0,450000.0
27,05HZ2,175000.0,575000.0,180000.0,581250.0
28,46DZ2,195000.0,400000.0,200000.0,406250.0
29,11FZ2,215000.0,562500.0,220000.0,568750.0
30,28DN1,230000.0,481250.0,235000.0,487500.0
31,30FN1,90000.0,468750.0,95000.0,475000.0
32,17FZ1,250000.0,537500.0,255000.0,543750.0
33,57BZ1,150000.0,362500.0,155000.0,368750.0
34,21CN1,180000.0,506250.0,185000.0,512500.0
35,20FN2,175000.0,518750.0,180000.0,525000.0
36,02CN2,185000.0,606250.0,190000.0,612500.0
37,14DZ1,110000.0,525000.0,115000.0,531250.0
38,06FN1,210000.0,593750.0,215000.0,600000.0
39,49HN1,90000.0,381250.0,95000.0,387500.0
40,43HZ2,95000.0,400000.0,100000.0,406250.0
41,31EZ1,120000.0,462500.0,125000.0,468750.0
